ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid
A71;A71-1;A71;NOM;Pont Guillotiere RD - Crepieux Les Brosses;Aller;11172;10304;Pont Guillotière RD;Crépieux Les Brosses;BUS;20290822;;REG;Régulière;False;A 71;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.920650+02:00;789
A71;A71-2;A71;NOM;Crepieux Les Brosses - Pont Guillotiere RD;Retour;10304;11172;Crépieux Les Brosses;Pont Guillotière RD;BUS;20290822;;REG;Régulière;False;A 71;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.921243+02:00;790
BGS2;BGS2-2;BGS2;NOM;Parc Olympique Lyonnais - Eurexpo;Retour;34432;34431;Décines OL Vallée;Eurexpo;BUS;20180101;;EVE;Evènementielle;True;BGS2;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.923540+02:00;828
BRT1;BRT1-1;321A;NOR;Gare Part-Dieu V.Merle - IUT - Feyssine;Aller;11064;31027;Gare Part-Dieu V.Merle;IUT - Feyssine;BUS;20240306;;PRT;Plan de remplacement tramway;True;BRT1;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.927355+02:00;878
BRT4;BRT4-1;329A;NOR;La Borelle - Hop. Feyzin Venissieux;Aller;10630;32811;La Borelle;Hôp. Feyzin Vénissieux;BUS;20190624;;PRT;Plan de remplacement tramway;True;BRT4;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.930505+02:00;892
BRT4;BRT4-2;329A;NOR;Hop. Feyzin Venissieux - La Borelle;Retour;32811;10630;Hôp. Feyzin Vénissieux;La Borelle;BUS;20190624;;PRT;Plan de remplacement tramway;True;BRT4;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.931272+02:00;893
C1;C1-1;C1A;NOM;Gare Part-Dieu Vivier Merle - Cuire;Aller;11064;10309;Gare Part-Dieu V.Merle;Cuire;BUS;20180101;;REG;Régulière;True;C  1;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.932034+02:00;791
120;120-1;120;NOM;Perrache - Gare de Givors Ville;Aller;30977;31682;Perrache;Gare de Givors Ville;BUS;20211023;;REG;Régulière;False;120;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.904831+02:00;841
C2;C2-1;C2A;NOM;Gare Part-Dieu Vivier Merle - Rillieux Semailles;Aller;11064;11225;Gare Part-Dieu V.Merle;Rillieux Semailles;BUS;20180101;;REG;Régulière;True;C  2;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.933581+02:00;793
C2;C2-2;C2A;NOM;Rillieux Semailles - Gare Part-Dieu Vivier Merle;Retour;11225;11064;Rillieux Semailles;Gare Part-Dieu V.Merle;BUS;20180101;;REG;Régulière;True;C  2;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.934428+02:00;794
2EX;2EX-1;2EX;NOM;Gorge de Loup - Thurins Le Pont;Aller;10513;34108;Gorge de Loup;Le Pont;BUS;20180101;;REG;Régulière;True;2EX;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.912361+02:00;617
2EX;2EX-2;2EX;NOM;Thurins Le Pont - Gorge de Loup;Retour;34108;10513;Le Pont;Gorge de Loup;BUS;20180101;;REG;Régulière;True;2EX;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.913040+02:00;618
73E;73E-1;73E;NOM;Gorge de Loup - Brindas Centre;Aller;10513;10117;Gorge de Loup;Brindas Centre;BUS;20190701;;REG;Régulière;True;73E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.915050+02:00;619
73E;73E-2;73E;NOM;Brindas Centre - Gorge de Loup;Retour;10117;10513;Brindas Centre;Gorge de Loup;BUS;20190701;;REG;Régulière;True;73E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.915675+02:00;620
BGS1;BGS1-2;BGS1;NOM;Parc Olympique Lyonnais - Meyzieu les Panettes;Retour;34432;34433;Décines OL Vallée;Meyzieu les Panettes;BUS;20180101;;EVE;Evènementielle;True;BGS1;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.922376+02:00;826
52E;52E-2;52E;EXP;Bron Droits de l'Homme - Vaulx-en-Velin La Soie;Retour;11674;31760;Bron Droits de l'Homme;Vaulx-en-Velin La Soie;BUS;20230611;;REG;Régulière;False;52E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.914436+02:00;846
BGS2;BGS2-1;BGS2;NOM;Eurexpo - Parc Olympique Lyonnais;Aller;34431;34432;Eurexpo;Décines OL Vallée;BUS;20180101;;EVE;Evènementielle;True;BGS2;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.922935+02:00;827
BR60;BR60-4;99B;NAV;Perrache - Debourg;Aller;30977;20202;Perrache;Debourg;BUS;20180923;;REG;Régulière;False;BR60;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.925733+02:00;858
C3;C3-1;C3A;NOM;Gare Saint Paul - Vaulx-en-Velin La Grappiniere;Aller;11327;20205;Gare Saint-Paul;Vaulx - La Grappinière;BUS;20180101;;REG;Régulière;True;C  3;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.935265+02:00;701
C3;C3-2;C3A;NOM;Vaulx-en-Velin La Grappiniere - Gare Saint Paul;Retour;20205;11327;Vaulx - La Grappinière;Gare Saint-Paul;BUS;20180101;;REG;Régulière;True;C  3;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.936061+02:00;702
C24E;C24E-2;C24E;NOM;Gymnase E.Catalon - Gorge de Loup;Retour;33910;10513;Gymnase E. Catalon;Gorge de Loup;BUS;20190701;;REG;Régulière;True;C24E;2 Septembre 2024;2024-08-21 17:07:29+02:00;2024-09-06 06:01:26.981772+02:00;410
