FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee
tcl_sytral.tclarret.1191,1191,Hôtel de Ville L. Pradel,"9B:R,C5A:R",true,false,false,13002,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.83778625564709 45.769220141651786),PLACE TOLOZAN,false,Lyon 1er Arrondissement,69381
tcl_sytral.tclarret.1192,1192,Hôtel de Ville L. Pradel,"9B:A,A32:A,A71:A,C5A:A",true,false,false,13003,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.838303308074042 45.768083293838124),1 QUAI JEAN MOULIN,true,Lyon 1er Arrondissement,69381
tcl_sytral.tclarret.1198,1198,Hôtel de Ville L. Pradel,"C18A:A,C18A:R",false,false,false,13004,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.835313135065882 45.76652966481336),9 RUE DE L ARBRE SEC,false,Lyon 1er Arrondissement,69381
tcl_sytral.tclarret.1201,1201,Charly Primeveres,119:R,false,false,false,17355,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.784214467254244 45.655101821611375),118 ROUTE DE RUMEYERE,false,Charly,69046
tcl_sytral.tclarret.1202,1202,Charly Primeveres,119:A,false,false,false,17356,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.7845304800781445 45.65479581728666),118 ROUTE DE RUMEYERE,true,Charly,69046
tcl_sytral.tclarret.1206,1206,Ile Barbe,40A:A,false,false,false,13005,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.830448152789224 45.795675632605004),47 QUAI CLEMENCEAU,false,Caluire-et-Cuire,69034
tcl_sytral.tclarret.1207,1207,Ile Barbe,40A:R,false,false,false,13006,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.830518954628355 45.79581807989968),47 QUAI CLEMENCEAU,true,Caluire-et-Cuire,69034
tcl_sytral.tclarret.1673,1673,Les Esses,"C13B:R,C18A:R",true,false,false,13289,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.817236362020267 45.771800105736865),7 BOULEVARD DE LA CROIX ROUSSE,false,Lyon 4e Arrondissement,69384
tcl_sytral.tclarret.1674,1674,Les Esses,"2A:A,2A:R,45B:A,45B:R,C13B:A,C18A:A",true,false,false,13290,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.819528340051589 45.77242453380309),25 BOULEVARD DE LA CROIX ROUSSE,true,Lyon 1er Arrondissement,69381
tcl_sytral.tclarret.42546,42546,Grange Blanche - Viala,"C26A:A,C8A:R",true,false,false,15814,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.885509296694298 45.74397823860943),29 RUE VIALA,true,Lyon 3e Arrondissement,69383
tcl_sytral.tclarret.42658,42658,Allee de l'Eglise,"68B:A,68B:R,C15A:A,C8A:A",false,false,false,18091,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.922765209291494 45.759023038877025),8 AVENUE BATAILLON CARMAGNOLE LIBERTE,false,Vaulx-en-Velin,69256
tcl_sytral.tclarret.42677,42677,INSA - Einstein,"C17A:A,C26A:A,PL1A:A,PL1A:R",true,false,false,15839,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.877920047277193 45.78233384827482),20 AVENUE ALBERT EINSTEIN,true,Villeurbanne,69266
tcl_sytral.tclarret.42679,42679,Antonins,"C17A:A,C26A:A",true,false,false,15841,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.879388147665892 45.77855092723137),56 RUE DES ANTONINS,false,Villeurbanne,69266
tcl_sytral.tclarret.42682,42682,Genas - Lacouture,C17A:A,true,false,false,15843,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.911459275884042 45.74962381287773),3 RUE CHRISTIAN LACOUTURE,false,Bron,69029
tcl_sytral.tclarret.828,828,Ecole Veterinaire,"122:R,142A:R,98G:A,98G:R",true,false,false,12843,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.708517463671036 45.79011657077826),2 AVENUE MARCEL MERIEUX,false,Marcy-l'Étoile,69127
tcl_sytral.tclarret.829,829,Ecole Veterinaire,"122:A,142A:A,72D:R,98G:A,98G:R,GE6B:A",true,false,false,12844,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.7086701659967805 45.79007734306515),2 AVENUE MARCEL MERIEUX,true,Marcy-l'Étoile,69127
tcl_sytral.tclarret.832,832,La Mulatiere Mairie,"6A:A,8B:R",true,false,false,12845,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.810414848033148 45.72908747802954),1 RUE DE LATTRE DE TASSIGNY,false,La Mulatière,69142
tcl_sytral.tclarret.833,833,La Mulatiere Mairie,"6A:R,8B:A",true,false,false,12846,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.810217394915421 45.72900650109634),1 RUE DE LATTRE DE TASSIGNY,true,La Mulatière,69142
tcl_sytral.tclarret.834,834,Ecully Centre,"19A:R,3A:R",true,false,false,12847,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.779102743712338 45.77448126993537),22 AVENUE RAYMOND DE VEYSSIERE,true,Écully,69081
tcl_sytral.tclarret.835,835,Ecully Centre,19A:A,true,false,false,12848,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.779117191446995 45.77451695965733),20 AVENUE RAYMOND DE VEYSSIERE,false,Écully,69081
tcl_sytral.tclarret.1208,1208,Ile Roy,40A:A,false,false,false,13007,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.858856704677255 45.82419159705634),33 QUAI JEAN BAPTISTE SIMON,false,Fontaines-sur-Saône,69088
tcl_sytral.tclarret.1412,1412,La Levee,"11B:A,12C:A,14B:A",true,false,false,13109,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.786730988180131 45.7222263576298),54 AVENUE DE L AQUEDUC DE BEAUNANT,false,Sainte-Foy-lès-Lyon,69202
tcl_sytral.tclarret.1413,1413,La Levee,"11B:R,12C:R,14B:R",true,false,false,13110,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.787189425705968 45.72207160910588),52 AVENUE DE L AQUEDUC DE BEAUNANT,true,Sainte-Foy-lès-Lyon,69202
tcl_sytral.tclarret.1429,1429,Pateliere - Millaud,"73D:A,C24D:A",true,false,false,13121,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.745732190393063 45.74736249333468),4 AVENUE EDOUARD MILLAUD,false,Craponne,69069
tcl_sytral.tclarret.1430,1430,Pateliere - Millaud,"73D:R,C24D:R",true,false,false,13122,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.745628648432548 45.747346714068634),5 AVENUE EDOUARD MILLAUD,false,Craponne,69069
tcl_sytral.tclarret.37596,37596,Mairie St Cyr,N20:R,false,false,false,17850,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.817722793984346 45.815865857066896),13 RUE JEAN ET CATHERINE REYNIER,false,Saint-Cyr-au-Mont-d'Or,69191
tcl_sytral.tclarret.37686,37686,St Cyr Eglise,"S7A:A,S7A:R",false,false,false,15478,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.820026826739123 45.81435982854634),2 ROUTE DE COLLONGES,false,Saint-Cyr-au-Mont-d'Or,69191
tcl_sytral.tclarret.37735,37735,Chemin du bois,61B:R,true,false,false,15479,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.750717418550023 45.83233905062628),ROUTE NATIONALE 6,false,Dardilly,69072
tcl_sytral.tclarret.37754,37754,Lycee Ombrosa,40A:A,false,false,false,15480,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.844021895166479 45.808186761028566),99 QUAI CLEMENCEAU,false,Caluire-et-Cuire,69034
tcl_sytral.tclarret.37764,37764,St Priest Les Alpes,C25B:A,true,false,false,15481,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.932505660225847 45.693446910638784),BOULEVARD EDOUARD HERRIOT,false,Saint-Priest,69290
tcl_sytral.tclarret.37765,37765,St Priest Les Alpes,C25B:R,true,false,false,15482,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.93268825700703 45.69350569409093),BOULEVARD EDOUARD HERRIOT,false,Saint-Priest,69290
tcl_sytral.tclarret.37825,37825,St Fons Albert Thomas,93A:R,false,false,false,15483,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.859886061213399 45.70725612081982),5 RUE ARISTIDE BRIAND,false,Saint-Fons,69199
tcl_sytral.tclarret.37835,37835,La Fouillouse Acacias,"50A:R,ZI8A:A,ZI8A:R",false,false,false,15484,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.976782224050549 45.685688887128066),42 CHEMIN DE LA FOUILLOUSE,true,Saint-Priest,69290
tcl_sytral.tclarret.37839,37839,Route de Toussieu,"50A:A,ZI8A:A,ZI8A:R",false,false,false,15485,2024-09-23T03:02:12,2024-09-23T06:00:18,POINT (4.983665986188819 45.68856348284411),89 ROUTE DE TOUSSIEU,true,Saint-Priest,69290
tcl_sytral.tclarret.46102,46102,Joseph Moulin,C24E:A,true,false,false,16265,2024-09-23T03:02:12,2024-09-23T06:00:19,POINT (4.714236991627323 45.74589173931462),RUE CENTRALE,false,Craponne,69069
tcl_sytral.tclarret.854,854,Entree de Decines,"52D:A,67A:R",true,false,false,12860,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.935453258999865 45.76770090706642),53BIS AVENUE GARIBALDI,false,Vaulx-en-Velin,69256
tcl_sytral.tclarret.856,856,Entree de Decines,52D:R,true,false,false,12861,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.936436491593795 45.76828440179356),4 AVENUE PAUL MARCELLIN,true,Décines-Charpieu,69275
tcl_sytral.tclarret.867,867,Etats-Unis Leriche,26A:R,true,false,false,12862,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.86925654657653 45.7274687241756),133 BOULEVARD DES ETATS UNIS,false,Lyon 8e Arrondissement,69388
tcl_sytral.tclarret.874,874,Etats-Unis Viviani,26A:R,true,false,false,12864,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.871257809947652 45.72487618002363),163 BOULEVARD DES ETATS UNIS,false,Lyon 8e Arrondissement,69388
tcl_sytral.tclarret.1026,1026,Danton - Republique,28A:R,false,false,false,12925,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (5.002527978614721 45.7316151865278),62 RUE DE LA REPUBLIQUE,false,Genas,69277
tcl_sytral.tclarret.1027,1027,Danton - Republique,28A:A,false,false,false,12926,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (5.001795482339389 45.73176220981384),1 RUE DE LA REPUBLIQUE,true,Genas,69277
tcl_sytral.tclarret.1064,1064,Grand Chassagnon,60A:A,false,false,false,12941,2024-09-23T03:02:12,2024-09-23T06:00:17,POINT (4.863762082094417 45.701291078487415),8 RUE DU 19 MARS 1962,false,Vénissieux,69259
